LOCATION CODE,COUNTY,AREA NAME,REGION,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
150301,ESSEX,Elizabethtown-Lewis Central School,NORTHEASTERN NEW YORK,14,32.60%,15,34.90%,29,67.40%,SCHOOL DISTRICT,7530 COURT ST,ELIZABETHTOWN,NY,12932,"(44.2135, -73.5966)"
581010,SUFFOLK,Greenport Union Free School,NASSAU-SUFFOLK,9,16.10%,26,46.40%,35,62.50%,SCHOOL DISTRICT,720 FRONT ST,GREENPORT,NY,11944,"(41.1004, -72.3697)"
120401,DELAWARE,Charlotte Valley Central School District,NORTHEASTERN NEW YORK,12,24%,19,38%,31,62%,SCHOOL DISTRICT,15611 ST HWY 23,DAVENPORT,NY,13750,"(42.4702, -74.848)"
420601,ONONDAGA,Fabius-Pompey Central School,CENTRAL NEW YORK,35,25.20%,43,30.90%,78,56.10%,SCHOOL DISTRICT,1211 MILL ST,FABIUS,NY,13063,"(42.8303, -75.9853)"
120906,DELAWARE,Hancock Central School District,NORTHEASTERN NEW YORK,5,11.40%,19,43.20%,24,54.50%,SCHOOL DISTRICT,67 EDUCATION LN,HANCOCK,NY,13783,"(41.955, -75.2785)"
580512,SUFFOLK,Brentwood Union Free School,NASSAU-SUFFOLK,823,20.50%,1294,32.30%,2117,52.90%,SCHOOL DISTRICT,52 3RD AVE,BRENTWOOD,NY,11717,"(40.777, -73.2557)"
161201,FRANKLIN,Salmon River Central School,NORTHEASTERN NEW YORK,86,21.10%,128,31.40%,214,52.60%,SCHOOL DISTRICT,637 COUNTY RT 1,FORT COVINGTON,NY,12937,"(44.961, -74.5185)"
461801,OSWEGO,Pulaski Central School,CENTRAL NEW YORK,56,27.50%,51,25%,107,52.50%,SCHOOL DISTRICT,2 HINMAN RD,PULASKI,NY,13142,"(43.5706, -76.1359)"
510101,ST. LAWRENCE,Brasher Falls Cent Sch Dist,CENTRAL NEW YORK,56,22.50%,73,29.30%,129,51.80%,SCHOOL DISTRICT,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,"(44.8016, -74.7647)"
622002,ULSTER,Ellenville Central School,HUDSON VALLEY,86,27.20%,74,23.40%,160,50.60%,SCHOOL DISTRICT,28 MAPLE AVE,ELLENVILLE,NY,12428,"(41.717, -74.3911)"
280201,NASSAU,Hempstead Union Free School,NASSAU-SUFFOLK,247,19.30%,400,31.20%,647,50.50%,SCHOOL DISTRICT,185 PENINSULA BLVD,HEMPSTEAD,NY,11550,"(40.7055, -73.6208)"
280202,NASSAU,Uniondale Union Free School,NASSAU-SUFFOLK,245,19.20%,393,30.80%,638,49.90%,SCHOOL DISTRICT,933 GOODRICH ST,UNIONDALE,NY,11553,"(40.7048, -73.5842)"
650101,WAYNE,Newark Central School,FINGER LAKES,89,21%,121,28.60%,210,49.60%,SCHOOL DISTRICT,100 E MILLER ST,NEWARK,NY,14513,"(43.0458, -77.0942)"
462001,OSWEGO,Phoenix Central School,CENTRAL NEW YORK,51,17.10%,95,31.80%,146,48.80%,SCHOOL DISTRICT,116 VOLNEY ST,PHOENIX,NY,13135,"(43.2391, -76.3007)"
51101,CAYUGA,Port Byron Central School District,CENTRAL NEW YORK,44,17.30%,80,31.40%,124,48.60%,SCHOOL DISTRICT,30 MAPLE AVE,PORT BYRON,NY,13140,"(43.0403, -76.6192)"
651201,WAYNE,Sodus Central School,FINGER LAKES,55,25%,52,23.60%,107,48.60%,SCHOOL DISTRICT,6264 RT 88,SODUS,NY,14551,"(43.2273, -77.0676)"
250301,MADISON,De Ruyter Central School,CENTRAL NEW YORK,25,24.80%,24,23.80%,49,48.50%,SCHOOL DISTRICT,711 RAILROAD ST,DERUYTER,NY,13052,"(42.7587, -75.891)"
120701,DELAWARE,Franklin Central School District,NORTHEASTERN NEW YORK,15,24.20%,15,24.20%,30,48.40%,SCHOOL DISTRICT,26 INSTITUTE ST,FRANKLIN,NY,13775,"(42.3429, -75.1637)"
513102,ST. LAWRENCE,Edwards-Knox Central School,CENTRAL NEW YORK,27,19.70%,39,28.50%,66,48.20%,SCHOOL DISTRICT,2512 COUNTY HWY 24,RUSSELL,NY,13684,"(44.364, -75.2036)"
591502,SULLIVAN,Sullivan West Csd,HUDSON VALLEY,25,15.60%,52,32.50%,77,48.10%,SCHOOL DISTRICT,33 SCHOOLHOUSE RD,JEFFERSONVILLE,NY,12748,"(41.7781, -74.94)"
